2021-11-22 21:07:56.903 | 1 | DBG | Microsoft.Extensions.Hosting.Internal.Host | Hosting starting
2021-11-22 21:07:57.043 | 1 | INF | Microsoft.AspNetCore.DataProtection.KeyManagement.XmlKeyManager | User profile is available. Using 'C:\Users\z0041rxs\AppData\Local\ASP.NET\DataProtection-Keys' as key repository and Windows DPAPI to encrypt keys at rest.
2021-11-22 21:07:57.094 | 1 | DBG | Microsoft.AspNetCore.DataProtection.Repositories.FileSystemXmlRepository | Reading data from file 'C:\Users\z0041rxs\AppData\Local\ASP.NET\DataProtection-Keys\key-5b396e93-c300-4c4b-81e5-8b3b868d3adc.xml'.
2021-11-22 21:07:57.098 | 1 | DBG | Microsoft.AspNetCore.DataProtection.Repositories.FileSystemXmlRepository | Reading data from file 'C:\Users\z0041rxs\AppData\Local\ASP.NET\DataProtection-Keys\key-742db1cd-6e3b-4739-b2f8-b8ed2744a8c7.xml'.
2021-11-22 21:07:57.100 | 1 | DBG | Microsoft.AspNetCore.DataProtection.Repositories.FileSystemXmlRepository | Reading data from file 'C:\Users\z0041rxs\AppData\Local\ASP.NET\DataProtection-Keys\key-b0624dbd-dfe3-45a4-992c-dd395fc01cf0.xml'.
2021-11-22 21:07:57.111 | 1 | DBG | Microsoft.AspNetCore.DataProtection.KeyManagement.XmlKeyManager | Found key {5b396e93-c300-4c4b-81e5-8b3b868d3adc}.
2021-11-22 21:07:57.124 | 1 | DBG | Microsoft.AspNetCore.DataProtection.KeyManagement.XmlKeyManager | Found key {742db1cd-6e3b-4739-b2f8-b8ed2744a8c7}.
2021-11-22 21:07:57.125 | 1 | DBG | Microsoft.AspNetCore.DataProtection.KeyManagement.XmlKeyManager | Found key {b0624dbd-dfe3-45a4-992c-dd395fc01cf0}.
2021-11-22 21:07:57.137 | 1 | DBG | Microsoft.AspNetCore.DataProtection.KeyManagement.DefaultKeyResolver | Considering key {b0624dbd-dfe3-45a4-992c-dd395fc01cf0} with expiration date 2021-12-28 13:55:04Z as default key.
2021-11-22 21:07:57.207 | 1 | DBG | Microsoft.AspNetCore.DataProtection.TypeForwardingActivator | Forwarded activator type request from Microsoft.AspNetCore.DataProtection.XmlEncryption.DpapiXmlDecryptor, Microsoft.AspNetCore.DataProtection, Version=6.0.0.0, Culture=neutral, PublicKeyToken=adb9793829ddae60 to Microsoft.AspNetCore.DataProtection.XmlEncryption.DpapiXmlDecryptor, Microsoft.AspNetCore.DataProtection, Culture=neutral, PublicKeyToken=adb9793829ddae60
2021-11-22 21:07:57.212 | 1 | DBG | Microsoft.AspNetCore.DataProtection.XmlEncryption.DpapiXmlDecryptor | Decrypting secret element using Windows DPAPI.
2021-11-22 21:07:57.216 | 1 | DBG | Microsoft.AspNetCore.DataProtection.TypeForwardingActivator | Forwarded activator type request from Microsoft.AspNetCore.DataProtection.AuthenticatedEncryption.ConfigurationModel.AuthenticatedEncryptorDescriptorDeserializer, Microsoft.AspNetCore.DataProtection, Version=6.0.0.0, Culture=neutral, PublicKeyToken=adb9793829ddae60 to Microsoft.AspNetCore.DataProtection.AuthenticatedEncryption.ConfigurationModel.AuthenticatedEncryptorDescriptorDeserializer, Microsoft.AspNetCore.DataProtection, Culture=neutral, PublicKeyToken=adb9793829ddae60
2021-11-22 21:07:57.223 | 1 | DBG | Microsoft.AspNetCore.DataProtection.AuthenticatedEncryption.CngCbcAuthenticatedEncryptorFactory | Opening CNG algorithm 'AES' from provider 'null' with chaining mode CBC.
